title,money,description,url,images
3 Piece - Printed Suit - 42401410,"Rs. 6,150.00 Rs. 3,997.50","Immerse yourself in the alluring charm with this printed three-piece from the latest unstitched summer collection.
Product Detail:
Paisleys Style Shirt with Dupatta and Trousers
SHIRT
Printed Super Fine Lawn: 3 Meter
Fabric: Lawn
Color: Red
DUPATTA
Digital Printed Banarsi Slub Dupatta: 2.5 Meter
Fabric: Banarsi Slub
Color: Red
TROUSERS
Printed Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: Red
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42401410,"image_1_36_1.jpg, image_1_36_2.jpg, image_1_36_3.jpg"
3 Piece - Yarn Dyed Embroidered Suit - 42401974,"Rs. 13,330.00 Rs. 8,664.50","Get an essential graceful look in this yarn dyed embroidered three-piece from the latest unstitched summer collection.
Product Detail:
Banarsi Style Shirt with Dupatta and Trousers
SHIRT
Yarn Dyed Banarsi Shirt: 3 Meter
Embroidered Front + Neckline + Sleeves + Motifs + Border
Fabric: Banarsi
Color: Pink
DUPATTA
Banarsi Jacquard Dupatta: 2.5 Meter
Fabric: Jacquard
Color: Pink
TROUSERS
Yarn Dyed Banarsi Trousers: 2.5 Meter
Fabric: Banarsi
Color: Pink
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42401974,"image_1_37_1.jpg, image_1_37_2.jpg, image_1_37_3.jpg"
3 Piece - Yarn Dyed Embroidered Suit - 42401977,"Rs. 13,330.00 Rs. 8,664.50","Make your catchy with this wonderful yarn dyed embroidered three-piece from the latest unstitched summer collection.
Product Detail:
Banarsi Style Shirt with Dupatta and Trousers
SHIRT
Yarn Dyed Banarsi Shirt: 3 Meter
Embroidered Front + Neckline + Motifs + Border
Fabric: Banarsi
Color: Rust Orange
DUPATTA
Banarsi Jacquard Dupatta: 2.5 Meter
Fabric: Banarsi Jacquard
Color: Rust Orange
TROUSERS
Yarn Dyed Banarsi Trousers: 2.5 Meter
Fabric: Banarsi
Color: Rust Orange
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42401977,"image_1_38_1.jpg, image_1_38_2.jpg, image_1_38_3.jpg"
2 Piece - Dyed Embroidered Suit - 42401731,"Rs. 5,640.00 Rs. 3,666.00","Wear this most influential beige dyed embroidered two-piece from the latest unstitched summer collection.
Product Detail:
Shirt with Trousers
SHIRT
Solid Cambric Shirt: 3 Meter
Embroidered Motifs + Border
Fabric: Cambric
Color: Beige
TROUSERS
Embroidered Solid Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: Beige
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42401731,"image_1_39_1.jpg, image_1_39_2.jpg, image_1_39_3.jpg"
3 Piece - Printed Embroidered Suit - 42405010,"Rs. 8,720.00 Rs. 5,668.00","Traditional designs enriched with printed embroidered three piece from the latest summer collection.
Product Detail:
Shirt with Dupatta and Trousers
SHIRT
Dyed Cambric Shirt: 3.2 Meter
Embroidered Front + 3 Borders
Fabric: Cambric
Color: Black
DUPATTA
Digital Printed Voile Dupatta: 2.6 Meter
Fabric: Voile
Color: Black
TROUSERS
Dyed Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: ﻿Black
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42405010,"image_1_40_1.jpg, image_1_40_2.jpg, image_1_40_3.jpg"
Embroidered Shirt - PS24-319 - XS,"Rs. 4,890.00 Rs. 2,934.00","Capture hearts and mesmerize souls with this embroidered shirt from the latest pret summer collection. 
Product Detail
Embroidered Shirt
Shirt
Buttons Detail On Neckline & Sleeves, Embroidered Front, Straight Shirt
Fabric: Cambric 
Color: Pink
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/products/ps24-319,"image_1_41_1.jpg, image_1_41_2.jpg, image_1_41_3.jpg"
3 Piece - Jacquard Embroidered Suit - 42401932,"Rs. 8,720.00 Rs. 5,668.00","Feel the joy of life in this jacquard embroidered three-piece from the latest unstitched summer collection.
Product Detail:
Embellished Style Shirt with Dupatta and Trousers
SHIRT
Jacquard Shirt: 3 Meter
Embroidered Neckline + Border
Fabric: Jacquard
Color: Green
DUPATTA
Digital Printed Zari Lawn Dupatta: 2.5 Meter
Fabric: Zari Lawn
Color: Green
TROUSERS
Solid Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: Green
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42401932,"image_1_42_1.jpg, image_1_42_2.jpg, image_1_42_3.jpg"
1 Piece - Digital Printed Loose Fabric - 42403386 - Shirt / 3 / 3,Rs. 830.00 Rs. 540.00,"Indulge in the magnificence of this digital printed one-piece from the latest freedom to buy summer collection.
Product Detail:
Mughal Motifs Printed Style Shirt 
SHIRT
Shirt: 3 Meter (RS 830/-Mtr)
Fabric: Dobby Lawn
Color: Off White

Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42403386,"image_1_43_1.jpg, image_1_43_2.jpg, image_1_43_3.jpg"
3 Piece - Digital Printed Suit - 42401498,"Rs. 8,200.00 Rs. 5,330.00","Look gorgeous effortlessly by wearing this digital printed three-piece from the latest unstitched summer collection.
Product Detail:
Embroidered Style Patterns Shirt with Dupatta and Trousers
SHIRT
Digital Printed Brochia Jacquard Shirt: 3 Meter
Fabric: Jacquard
Color: Skin
DUPATTA
Digital Printed Brochia Jacquard Dupatta: 2.5 Meter
Fabric: Jacquard
Color: Skin
TROUSERS
Dyed Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: ﻿Skin
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42401498,"image_1_44_1.jpg, image_1_44_2.jpg, image_1_44_3.jpg"
3 Piece - Printed Loose Fabric - 42403155 - Dupatta / 2.5 / 2.5,Rs. 830.00 Rs. 540.00,"Embrace the allure of timeless elegance with this printed three-piece from the latest freedom to buy summer collection.
Product Detail:
Abstract Line Motifs With Vector Florals Printed Style Shirt with Dupatta and Trousers
SHIRT
Shirt: 3 Meter (RS 730/-Mtr)
Fabric: Lawn
Color:Black & Red
DUPATTA
Dupatta: 2.5 Meter (RS 750/-Mtr)
Fabric: Voile
Color: Black & Red
TROUSERS
Trousers: 2.5 Meter (RS 650/-Mtr)
Fabric: Cambric
Color: Black
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42403155,"image_1_45_1.jpg, image_1_45_2.jpg, image_1_45_3.jpg"
